Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
"Sainsbury's Snowball Melon, Taste the Difference",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,2.5,1.0,0.0,0.0
Sainsbury's On the Go Melon Medley 160g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
Sainsbury's Seeded Grapes 700g,2.75,,fresh_food,fruits,Sainsburys,2024,12,18,3.93,0.0,1.0,0.0
"Sainsbury's Melon, Kiwi & Strawberry 220g",2.35,,fresh_food,fruits,Sainsburys,2024,12,18,10.68,0.0,1.0,0.0
Sainsbury's On the Go Pineapple 160g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
Sainsbury's Shell On Pecan Nuts 300g,3.0,2.5,fresh_food,fruits,Sainsburys,2024,12,18,10.0,0.0,1.0,0.0
Sainsbury's Redcurrants 150g,3.85,,fresh_food,fruits,Sainsburys,2024,12,18,25.67,0.0,1.0,0.0
Sainsbury's Apple & Grape 130g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,10.38,0.0,1.0,0.0
"Sainsbury's Cocoa & Orange Flavour Nut & Fruit Mix, Taste th...",4.0,,fresh_food,fruits,Sainsburys,2024,12,18,17.78,0.0,1.0,0.0
"Sainsbury's Strawberries, SO Organic",3.0,,fresh_food,fruits,Sainsburys,2024,12,18,12.0,0.0,1.0,0.0
"Sainsbury's Apples, SO Organic",2.8,2.3,fresh_food,fruits,Sainsburys,2024,12,18,0.47,1.0,0.0,0.0
Sainsbury's Apricot Ripe & Ready x5,3.0,,fresh_food,fruits,Sainsburys,2024,12,18,0.6,1.0,0.0,0.0
Sainsbury's Pink Lady Apple Slices 120g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,11.25,0.0,1.0,0.0
Sainsbury's Whole Cucumber,0.89,,fresh_food,vegetables,Sainsburys,2024,12,18,0.89,1.0,0.0,0.0
Sainsbury's Broccoli Loose,2.19,,fresh_food,vegetables,Sainsburys,2024,12,18,2.19,0.0,1.0,0.0
Sainsbury's Carrots 1kg,0.69,0.15,fresh_food,vegetables,Sainsburys,2024,12,18,0.69,0.0,1.0,0.0
Sainsbury's Red Pepper,0.59,,fresh_food,vegetables,Sainsburys,2024,12,18,0.59,1.0,0.0,0.0
Sainsbury's Tenderstem Broccoli 200g,1.6,1.2,fresh_food,vegetables,Sainsburys,2024,12,18,8.0,0.0,1.0,0.0
Sainsbury's Maris Piper Potatoes 2kg,1.9,,fresh_food,vegetables,Sainsburys,2024,12,18,0.95,0.0,1.0,0.0
"Sainsbury's Vittoria Cherry Vine Tomatoes, Taste the Differe...",2.25,1.95,fresh_food,vegetables,Sainsburys,2024,12,18,9.0,0.0,1.0,0.0
Sainsbury's Sweet Peppers (Colours may vary) x3,1.79,,fresh_food,vegetables,Sainsburys,2024,12,18,0.6,1.0,0.0,0.0
Sainsbury's Spring Onions Bunch 100g,0.69,,fresh_food,vegetables,Sainsburys,2024,12,18,0.69,1.0,0.0,0.0
Sainsbury's White Closed Cup Vitamin D Mushrooms 300g,0.97,,fresh_food,vegetables,Sainsburys,2024,12,18,3.23,0.0,1.0,0.0
Sainsbury's Brown Onions x3,1.0,,fresh_food,vegetables,Sainsburys,2024,12,18,0.33,1.0,0.0,0.0
Sainsbury’s Carrots Loose,0.69,,fresh_food,vegetables,Sainsburys,2024,12,18,0.69,0.0,1.0,0.0
Sainsbury's White Potatoes 2kg,1.35,0.15,fresh_food,vegetables,Sainsburys,2024,12,18,0.68,0.0,1.0,0.0
Sainsbury's Onions Loose,0.99,,fresh_food,vegetables,Sainsburys,2024,12,18,0.99,0.0,1.0,0.0
Sainsbury’s Medium Ripe & Ready Avocados x2,1.65,,fresh_food,vegetables,Sainsburys,2024,12,18,0.83,1.0,0.0,0.0
Sainsbury's Baby Potatoes 1kg,1.2,,fresh_food,vegetables,Sainsburys,2024,12,18,1.2,0.0,1.0,0.0
Sainsbury's Chestnut Closed Cup Vitamin D Mushrooms 300g,1.35,,fresh_food,vegetables,Sainsburys,2024,12,18,4.5,0.0,1.0,0.0
Sainsbury's Brussels Sprouts 500g,0.9,0.15,fresh_food,vegetables,Sainsburys,2024,12,18,1.8,0.0,1.0,0.0
Sainsbury's Cauliflower,1.19,,fresh_food,vegetables,Sainsburys,2024,12,18,1.19,1.0,0.0,0.0
"Sainsbury's Carrots, SO Organic 700g",1.15,0.95,fresh_food,vegetables,Sainsburys,2024,12,18,1.64,0.0,1.0,0.0
Sainsbury's Baby Leaf Spinach 100g,1.2,,fresh_food,vegetables,Sainsburys,2024,12,18,12.0,0.0,1.0,0.0
Sainsbury's Classic Round Tomatoes x6,0.99,,fresh_food,vegetables,Sainsburys,2024,12,18,0.17,1.0,0.0,0.0
Sainsbury's Red Onions Loose,0.95,,fresh_food,vegetables,Sainsburys,2024,12,18,0.95,0.0,1.0,0.0
Sainsbury's Celery,0.75,,fresh_food,vegetables,Sainsburys,2024,12,18,0.75,1.0,0.0,0.0
Sainsbury's Onions 1kg,1.0,,fresh_food,vegetables,Sainsburys,2024,12,18,1.0,0.0,1.0,0.0
Sainsbury's Baking Potatoes 2kg,1.7,,fresh_food,vegetables,Sainsburys,2024,12,18,0.85,0.0,1.0,0.0
By Sainsbury’s Medium Ripe & Ready Avocado,0.75,,fresh_food,vegetables,Sainsburys,2024,12,18,0.75,1.0,0.0,0.0
Sainsbury's British Parsnips 500g,0.75,0.15,fresh_food,vegetables,Sainsburys,2024,12,18,1.5,0.0,1.0,0.0
JS Red Onions x3,1.0,,fresh_food,vegetables,Sainsburys,2024,12,18,0.33,1.0,0.0,0.0
Sainsbury's Baby Plum Tomatoes 325g,0.99,,fresh_food,vegetables,Sainsburys,2024,12,18,3.05,0.0,1.0,0.0
Sainsbury's Fine Green Beans 200g,1.3,,fresh_food,vegetables,Sainsburys,2024,12,18,6.5,0.0,1.0,0.0
"Sainsbury's Pomodorino Baby Plum Tomatoes, Taste the Differe...",1.85,,fresh_food,vegetables,Sainsburys,2024,12,18,7.4,0.0,1.0,0.0
Sainsbury's Carrots 500g,0.55,,fresh_food,vegetables,Sainsburys,2024,12,18,1.1,0.0,1.0,0.0
Sainsbury's Garlic,0.24,,fresh_food,vegetables,Sainsburys,2024,12,18,0.24,1.0,0.0,0.0
"Sainsbury's Jubilee Large Vine Tomatoes, Taste the Differenc...",2.0,,fresh_food,vegetables,Sainsburys,2024,12,18,4.44,0.0,1.0,0.0
Sainsbury's Baking Potatoes Loose,0.8,,fresh_food,vegetables,Sainsburys,2024,12,18,0.8,0.0,1.0,0.0
Sainsbury's Courgettes Loose,2.78,,fresh_food,vegetables,Sainsburys,2024,12,18,2.78,0.0,1.0,0.0
Sainsbury's Courgettes 500g,1.5,,fresh_food,vegetables,Sainsburys,2024,12,18,3.0,0.0,1.0,0.0
